candleInterval,tp1RR,z1min,z1max,tp1SizePercent,moveSlToBreakeven,totalTrades,winRate,profitFactor,maxDrawdown,expectancy,finalCapital,sharpeRatio,sortinoRatio
3,3,1.95,2.15,100,false,445,44.94,2.0466,12.03,0.5762,120594.22,0.3300,0.7766
4,3,1.95,2.15,100,false,461,44.90,2.0387,12.23,0.5723,129584.11,0.3283,0.7710
4,3,1.9,2.1,100,false,477,44.86,2.0343,12.20,0.5703,140293.35,0.3273,0.7680
5,3,1.95,2.15,100,false,462,44.81,2.0321,12.35,0.5697,128735.93,0.3268,0.7668
6,1.5,1.85,2.15,100,false,538,60.78,1.9964,7.50,0.3908,78832.91,0.3496,0.6240
4,2.5,1.85,2.1,100,false,492,48.17,1.9880,14.48,0.5121,116244.71,0.3263,0.7113
3,3,1.85,2.1,100,false,492,43.29,1.9806,12.13,0.5561,141716.00,0.3120,0.7384
3,2.5,1.9,2.15,100,false,464,47.41,1.9353,12.78,0.4918,92049.91,0.3128,0.6782
5,3,1.85,2.06,100,false,512,43.36,1.9310,12.47,0.5274,136794.79,0.3019,0.7007
5,3,1.9,2.1,100,false,485,43.51,1.9282,14.05,0.5244,117541.18,0.3017,0.6976
6,2,1.9,2.15,100,false,500,53.00,1.9163,9.56,0.4307,81957.49,0.3194,0.6282
4,2.5,1.9,2.15,100,false,477,47.17,1.9107,12.17,0.4811,93129.97,0.3067,0.6619
5,2.5,1.85,2.1,100,false,512,47.07,1.9057,9.42,0.4794,108735.10,0.3055,0.6590
4,2,1.85,2.15,100,false,492,51.83,1.8687,8.65,0.4184,74536.94,0.3058,0.6029
6,3,1.95,2.15,100,false,479,42.59,1.8634,13.93,0.4957,99455.23,0.2852,0.6542
6,3,1.9,2.1,100,false,500,42.20,1.8371,15.95,0.4838,103685.54,0.2783,0.6364
6,3,1.85,2.06,100,false,538,42.01,1.8343,13.76,0.4838,123770.86,0.2773,0.6353
5,2,1.85,2.15,100,false,512,51.17,1.8232,8.90,0.4020,74351.72,0.2934,0.5752
3,2.5,1.85,2.15,100,false,492,44.92,1.7922,12.81,0.4364,80100.07,0.2742,0.5880
2,3,1.85,2.15,100,false,412,40.29,1.7850,18.52,0.4687,64342.54,0.2621,0.6066
5,2.5,1.9,2.15,100,false,485,45.36,1.7772,15.84,0.4246,73628.66,0.2715,0.5745
6,2.5,1.85,2.1,100,false,538,44.61,1.7309,15.42,0.4049,82357.68,0.2585,0.5440
4,3,1.85,2.1,100,false,492,39.63,1.6993,19.06,0.4221,73721.66,0.2404,0.5433
6,2.5,1.9,2.15,100,false,500,43.80,1.6748,18.99,0.3792,62473.11,0.2426,0.5059
6,2,1.85,2.15,100,false,538,48.88,1.6681,18.04,0.3415,59518.99,0.2488,0.4776
4,3,1.9,2.15,100,false,477,38.57,1.6249,19.09,0.3838,57864.65,0.2197,0.4898
3,3,1.9,2.15,100,false,464,38.15,1.6007,12.18,0.3716,52117.68,0.2126,0.4724
4,2.5,1.85,2.15,100,false,492,42.07,1.5932,15.66,0.3436,50893.19,0.2179,0.4515
5,3,1.85,2.1,100,false,512,37.89,1.5827,10.61,0.3619,58878.89,0.2075,0.4593
6,3,1.85,2.1,100,false,538,37.73,1.5732,10.30,0.3569,62721.39,0.2046,0.4523
3,3,1.85,2.15,100,false,492,36.59,1.5311,15.19,0.3368,48494.91,0.1913,0.4229
5,2.5,1.85,2.15,100,false,512,41.02,1.5282,9.33,0.3115,46173.51,0.1980,0.4056
5,3,1.9,2.15,100,false,485,36.91,1.5152,18.70,0.3251,44912.84,0.1876,0.4093
6,2.5,1.85,2.15,100,false,538,39.96,1.4637,14.71,0.2784,41801.73,0.1776,0.3593
5,3,1.85,2.15,100,false,512,34.77,1.4154,12.30,0.2710,37021.61,0.1556,0.3355
6,3,1.9,2.15,100,false,500,35.20,1.4093,23.22,0.2652,34952.39,0.1544,0.3295
4,3,1.85,2.15,100,false,492,34.35,1.3859,23.43,0.2533,32276.11,0.1461,0.3126
6,3,1.85,2.15,100,false,538,33.83,1.3569,15.26,0.2361,32851.83,0.1365,0.2903
